CountryCode,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
AUT,0.24127891925984793,0.4307118593422826,0.040468796603187376,0.0022238996017030226,0.1180420850730752,0.0013048583538009645,0.0002840677805995374,0.017321519014825773,0.03592105822221213,4.4529099033518995e-05,0.0017620490556884028,0.059946217306882786,0.00018836464436927265,0.03685249147253269,0.002440456669908794,0.004787733605307094,0.002329890878327183,0.0017344289755198163,0.0006087696026431041,0.00155652398234037,5.832780250848385e-05,7.712555276143389e-05,5.6028100642563564e-05
AZE,0.010806727470117232,0.04986729832452042,0.008628043998720306,0.0838957656223483,0.38144613766308605,0.18463053343764735,0.004819411304930305,0.0019736156178000166,0.02528554282929696,0.001599501605156,0.008157453189427366,0.00140977224834458,0.14267162693902058,0.05375819379325742,0.0006433005933784491,0.005006447671547332,0.02253500908386245,0.004600842721290564,5.651972916180706e-05,2.2873542547879776e-06,0.004636433207123928,0.003106771322335641,0.00046276427337228347
BDI,0.3238473937515447,0.014258004727019928,0.08755426560289113,0.19276514162714195,0.11970066281051919,0.09373221363687113,0.00598708497142565,0.03468554191773177,0.06118921905712969,0.0036837091289859607,0.038846553560126965,0.0020416641074855733,8.127328262459625e-07,0.00014503909016202722,0.009836876377202873,0.0015807310650380441,0.0004691615025647173,0.0006237416003289083,0.008605487191492619,1.0487603006509756e-05,0.00038467529171636814,7.423916672014415e-06,4.410873011611127e-05
BEL,0.33603513633788185,0.3760524321474701,0.0172494136524196,0.0055564293819048175,0.15566977168908733,0.013469349601121477,0.0001729353502286262,0.004734422423354161,0.03153055286965558,0.00547527881745737,1.5282276405662105e-05,0.020330710104770153,0.00013775304100078077,0.003294508523257775,0.0007283107601623379,0.006386821649856981,0.020177590731754288,0.001698251339322126,0.000884607310978914,5.230717156396695e-05,0.00027288792698082666,5.3911650967744606e-05,2.1335242397548944e-05
BEN,0.6726938622998354,0.05877783933813372,0.0009199320438006766,0.08878482287588908,0.00713909897828716,4.598474657516135e-06,0.03187304700035458,0.010746689135027498,0.021247632328665063,0.04715799368020227,0.0043606110720319875,0.0281605277244079,0.0022649846315755916,0.01839066218653555,0.001199504301597692,0.003053364338955845,0.0015365402736054394,0.000583573649115429,2.083053889902327e-05,4.40769410732527e-07,0.000867337656695664,0.00021430248628362503,1.8042160325473863e-06
BFA,0.45689698301117704,0.0264831821909484,0.02037422705078259,0.13244188479283364,0.21549796914098931,0.03725243458662662,0.0041125959576479715,0.00572865956507932,0.023037017187787636,0.04093045229535732,0.016788200588178506,0.009528552872443318,0.000187358891451969,0.007334813788330497,3.6239098538830385e-05,0.00023435618229682395,0.0018845029793845393,9.713091764010187e-05,0.0010064420870352045,5.839415800639811e-06,3.323119186357369e-05,6.191460196546676e-05,4.601160584059874e-05
BGD,0.06227981046542772,0.14787066007113853,0.18040599528602771,0.23469393932164356,0.1262645167816863,0.01805118901269516,0.007086823115032466,0.08876178157556547,1.5631273693466175e-06,0.0002275801033979072,0.014383590287759696,0.005441902710080616,0.0006408123874813529,0.028544779779891626,0.04528430670976946,0.00638341816390728,0.007819844791967463,0.013441247475824805,0.0007266171481629439,0.00862696072360704,0.0003768235731789776,0.0006328534466349771,0.0020529839417499007
BGR,0.47617771959092536,0.04673815122150119,0.14154912322342134,0.014878823494622315,0.09772959621931675,0.0019314434484559073,0.08563074939589024,0.06074889091597143,0.006932645728183052,0.005325737363303389,0.028442616947218682,4.544449457758439e-06,0.002444839395651357,0.016940672818878236,0.0011755832900630253,0.0005609744980274089,0.003126910817595678,0.0007611726718989636,0.007393977793062266,0.0005204638788457323,0.0008236085825108707,0.00015247274552122975,9.281509677687673e-06
BHR,0.03782403882678401,0.16305732396586917,0.041139860162147025,0.0003739371337362977,0.0017233833107061596,0.4566831610004099,0.012252872539974388,0.003163232218421492,0.00433134845310633,0.033092027699587946,0.008332800226058352,0.005944560892594167,0.1907887770976252,0.03461587058064269,2.3759469992626656e-05,0.0032561754794686996,0.0012801028768265703,0.00040412408266277117,3.441621460663517e-05,0.00013288921386328035,0.001424179191701495,8.026002127485776e-07,0.0001203567630020652
BHS,0.006237788283362889,0.06030071844965606,0.0726109767896002,0.15947039086834666,0.06689975485788921,0.2178112577842096,0.039474581789193365,0.1749617162000117,0.009284877678053584,0.0825960658299216,0.01834614493931229,0.0048346005845597275,0.03202199038875925,0.04608218723357803,0.00509948343819538,0.00045603683401978834,6.414512445940508e-05,0.00099987612774233,0.0016644556611126236,4.318689421013263e-05,3.654394877944237e-05,1.641581253134241e-05,0.0006868044824950987
