,comp1,comp2,comp3,comp4,comp5,comp6,comp7,comp8,comp9,comp10,comp11,comp12,comp13,comp14,comp15,comp16,comp17,comp18,comp19,comp20,comp21,comp22,comp23
FixedBroadbandSubscriptions,0.46845465239145767,0.4684664644179417,0.7940359573394101,0.7948915894008901,0.7982011015782737,0.8029163977853482,0.828618918102073,0.8352684259663914,0.8367660944548276,0.8504854451136223,0.8662310395815832,0.9971208975885772,0.9991459043005823,0.9991565121051622,0.99998269982326,0.9999958990017196,0.9999965173563734,0.9999998319519829,0.9999998478123209,0.9999998737319306,0.9999999984913738,0.9999999991109284,0.9999999999999986
ChargesIntellProperty,0.09141316265167346,0.9999999978050071,0.9999999990502284,0.9999999991735455,0.999999999394071,0.9999999997312838,0.9999999997738132,0.9999999998607356,0.9999999999804947,0.999999999981364,0.999999999996507,0.9999999999995377,0.9999999999995394,0.9999999999996593,0.9999999999998371,0.999999999999844,0.9999999999999812,0.9999999999999998,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002,1.0000000000000002
GovernmentExpenditureOnEducation,0.0021070568325706122,0.0037185192266495893,0.030134719332587292,0.03429588531716468,0.04052095915365407,0.042893973021446034,0.09682812726868294,0.11353522272101196,0.11569350022332986,0.11635084638515861,0.17235452460290612,0.17938919571165657,0.18054915626797427,0.1806042336530214,0.18197595894366642,0.9189155400488169,0.9997064423995458,0.9999898157707785,0.9999966872646675,0.9999975897562619,0.9999998591779328,0.9999998820982067,1.0000000000003908
GrossEnrolmentRatio,0.12007351265973693,0.12027536150062729,0.6709743816124862,0.9112831289577781,0.911879519077372,0.9977860206994124,0.9978187010825095,0.9978702087742882,0.9987245947996011,0.9995857811200929,0.9995895457943879,0.9999901950858486,0.9999937474016997,0.9999972086055308,0.999998988804342,0.999999897433742,0.9999999744917216,0.9999999909842794,0.9999999910668359,0.9999999993367642,0.9999999994189535,0.9999999998407387,1.0000000000000202
HighTechnologyExports,0.03198770674521912,0.049343646594555556,0.08972008789757778,0.1336332848797615,0.1339231510453223,0.2531218461577318,0.27543751748194006,0.9499986455336544,0.9900177374386966,0.9901080153766685,0.9980741471629783,0.9997385515268721,0.999852853670477,0.9999065785312179,0.9999857795796809,0.9999965364110418,0.9999999029066331,0.9999999067343883,0.9999999639925838,0.9999999972152074,0.9999999995970266,0.9999999999661838,1.0000000000000002
GINIindex,0.048964458307696905,0.05183674616411762,0.17894695403193828,0.19900208307109393,0.24280212153255848,0.2484363517022111,0.24898961825489818,0.26057867574989546,0.34254885985822314,0.7076453291447136,0.9116746105628081,0.9653584055141549,0.9695241715777415,0.9997432639999385,0.9997683105307128,0.9997946251609582,0.9998027666899912,0.9998029127799894,0.9998065089145027,0.9999999075389526,0.9999999665146899,0.9999999811423645,1.000000000000277
IncomeShareLow20,0.02673487062771393,0.029501601668608737,0.09152099546403515,0.10417043770873333,0.15625571868679544,0.16482893567898182,0.16512488087632138,0.18094571028005357,0.24899019521381588,0.6192340777843655,0.8210251433732342,0.8821604667704989,0.8928724207587864,0.9048569302795618,0.9053505823570507,0.905369392908137,0.9055661889489045,0.9060589119484745,0.9070735073793311,0.9999529933272528,0.9999836810517386,0.9999934973157734,1.0000000000002933
SurveyMeanIncome,0.2512980942746798,0.29163843600547307,0.3649479089008986,0.37128967708451016,0.39268680064214645,0.4015777083645114,0.6986614911181754,0.7295084916322706,0.9669094916090242,0.9669299873704776,0.9880666332166071,0.989018660773296,0.9941098571965538,0.9991441208187003,0.9998456898845831,0.9999795869261071,0.999991444894714,0.9999997309291231,0.9999998537339578,0.999999995725695,0.9999999988013887,0.9999999999855252,1.0000000000000921
Unemployment,0.012121773139481127,0.01227204091738713,0.030554414421229203,0.04467794718226576,0.04474540895041092,0.10117419964304358,0.12481015771815204,0.14007550074139022,0.1431759540281769,0.22883774160393905,0.6582237537142395,0.6723194034421675,0.6725948399926005,0.9998358140185211,0.9998381217574693,0.9999292072841521,0.9999822501960323,0.9999962835030523,0.9999968149375629,0.9999999701130186,0.9999999836820945,0.9999999933646082,1.000000000000225
UnemploymentTertiaryEducation,0.031105327788911723,0.040807935113677404,0.06858367513324999,0.07796320030771203,0.1455497903040613,0.14565310100282883,0.5683388282125584,0.5742627415815797,0.9373823914418642,0.9774470285305972,0.97763644903837,0.9963802384598894,0.9966141331203006,0.9999838073450902,0.9999838816361083,0.9999951776735145,0.9999992812491116,0.9999997845060521,0.9999997879843958,0.999999983152687,0.9999999950683949,0.9999999994320251,0.9999999999999651
GDP_BM,0.9999995228504578,0.9999999999969882,0.9999999999999649,0.9999999999999774,0.9999999999999828,0.9999999999999973,0.9999999999999982,0.9999999999999982,0.9999999999999991,0.9999999999999991,0.9999999999999992,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999,0.9999999999999999
