,z1,z2,z3,z4,z5,z6,z7,z8
BFA,0.05329265590750504,0.011805004508261724,0.010701409575696421,0.009176091078596123,0.01783328119604205,0.006138572265034846,0.007541689933471345,0.0056230897293912925
BGD,0.07039953104148304,-0.1701527982013875,-0.1142447860104962,-0.08752478866678284,-0.09508638707407877,0.020281285778456667,-0.08816721063623045,-0.04596127064335805
BGR,-0.11343638775270594,-0.03311834393972686,-0.030103964561845623,0.03213670279878037,0.05650385953119032,0.005537566022177683,0.031150431219052283,-0.0061195350230624675
BHR,0.010735702036207401,0.014531689793852031,0.004142291358296866,-0.015356665197995636,0.02597527228586335,-0.008398277683035521,0.018989895562640507,-0.021576438134558257
BHS,0.0435238642023584,-0.00183803615018864,-0.0034742525819535007,0.03147989088084908,0.004709054415749614,-0.03544761627600481,-0.010054381984765928,0.007043655953147062
BIH,-0.09771586673744938,-0.10942909315677182,-0.11962418344026259,-0.04148586735772821,-0.12802460139151076,-0.050025290116934816,-0.04414506630885947,-0.06454947667648181
BLR,-0.26154739350305606,-0.0418182474099924,0.37928019795322543,0.11998365511725051,0.31482742335918895,-0.13916249006895007,0.07480195047831313,-0.09049309738236881
BLZ,0.028272279325702462,0.004591167042331658,-0.023958821947724845,0.022798428705985356,0.017558560253429226,-0.07833492625141293,-0.01435436954727787,0.0054999760219803595
BMU,-0.023733062907279376,0.07774847786443352,-0.16903853791529486,-0.18415251504746086,0.06590810431537517,0.014594269052136804,0.009546274232704958,-0.07156166559550976
BOL,0.01833091193680044,0.003020299052647243,-0.030467082206496666,-0.04729263773748872,-0.025696314321036928,0.041672809506753866,0.0010778978770053657,-0.017899951254438752
BRA,0.03075099558412319,0.021907906813621772,0.019936857053371473,0.013919011312026811,0.007919111851869082,0.00570104989862141,0.0066041921440742005,0.005991307276847401
BRB,0.006738026443497306,-0.01744381808534246,-0.11688122955255226,-0.05783206973518741,-0.051984893270154264,0.034879465942915425,-0.03911527019390927,-0.023721062474046206
BRN,0.031226199956922943,0.022104765060400378,0.00301272572696843,-0.011922681504301012,-0.020885939265289442,0.028828409068352955,0.010277520566944497,-0.0014512070262714088
BTN,0.07705682864820733,-0.1586206151245825,0.039933375051214956,0.11797925289046753,-0.13556134741954712,-0.1611136015717768,-0.09988560772202217,0.013018551233664091
BWA,0.0497230860771976,0.011784724563627273,0.00456639699117019,0.008217554658162329,0.01748149788063152,-0.0012175782606084168,0.005112553853057208,0.003951650351699555
CAF,0.05344625538804261,0.011702440360021273,0.0102640487534602,0.009124177462663006,0.018561128162244128,0.0056267822113293,0.007399414646511446,0.005550681489561291
