,u1,u2,u3,u4,u5,u6,u7,u8
BDI,0.019771761016867825,-0.015141247707511636,0.02173635436492345,-0.010859428343346961,-0.001442476296737495,0.15010218005482198,-0.02587673322708108,-0.004906612984474394
BEL,-0.08731230945266445,0.05697736569950647,0.05915584798992474,-0.04838463966254411,-0.0480235820793393,0.034280742928660624,-0.058449093362842035,-0.04232100975895852
BEN,0.08922558652383766,0.06440056822820119,0.044428141555010355,-0.02940112933205462,0.08068300266979878,0.05607301663293291,0.03970101180222612,0.018178459878072248
BFA,0.09917407949808962,0.031221101241549948,0.018315750095167494,-0.027114742372988988,-0.005685606244006042,0.08887053492336919,-0.08181104890785756,-0.006969057454848023
BGD,0.04606758823409571,0.002088778590403226,0.015573288750147624,-0.010947500420409173,0.027290524400450544,0.14764230697188477,-0.0027774767921173614,0.021187755679261427
BGR,-0.05031556882164774,-0.01413336846010663,0.02146496674766838,0.08598694603891904,0.08720223012596162,-0.06370725931961448,0.012857999085529715,0.00861078927116303
BHR,-0.022305277813409557,-0.021665733843553532,-0.022280124814926767,-0.10517644988115186,-0.054764300833498696,-0.037125602236630924,0.09784698673136578,0.12075810453014305
BHS,-0.02248198986288854,-0.07724990613260557,-0.05379800311216836,-0.06014824200852159,-0.06298249405629025,-0.042831567932678116,0.011064846888745783,0.004650437747493803
BIH,-0.06636640004560505,-0.14421935869181732,-0.07073678993494094,0.010194305927206115,-0.07100763739183366,-0.07683291362729945,0.032354371723058425,-0.12709122363543224
BLR,-0.0758609243824865,-0.059693612019449706,0.09288157270627272,0.022869392359551544,0.14157293431135576,-0.008401779275582211,-0.08472449191823826,0.06281478417198452
BLZ,0.10380537978385487,0.04297971788931978,0.017820681660609017,-0.025156975942761294,-0.057507605901941296,-0.08029529544999868,-0.02022115538396552,0.004445404410710995
BMU,-0.07494776218934371,-0.11322043392241128,0.057255931900705645,-0.3496740395459309,0.14374681207090947,-0.06487594177296513,0.009264139655258873,-0.049018313020003285
BOL,0.06037013600679517,0.04678292388641682,0.03182824557444841,0.03957556556592625,0.008049864923340736,-0.059996173215637084,0.07262505727799383,0.0512561901341686
BRA,0.08051131016270485,0.03753430471293107,0.030318282069304463,-0.007086583174771415,-0.019023466228559643,-0.1307354834243485,-0.021630468228247053,0.016314770187170986
BRB,-0.04339816303900341,-0.03341475835740867,0.007206828497793191,-0.038021966794112766,0.053077097675814616,-0.11914693860931232,-0.038107870568843835,-0.04111903051793279
BRN,0.06484741858155524,0.03961036703799971,-0.041629870454209544,-0.012861411628257326,-0.0965039786132235,-0.03888509293873685,0.016457627012141433,0.07657497588006246
BTN,0.0109742843229764,-0.06461556798394813,0.01944637799907748,-0.04152683696549782,-0.024161553564739577,0.08062535235886113,0.028715502902206726,0.1219117593138966
BWA,0.07516280096570495,-0.0028804719302244386,0.023166417869972106,-0.02381046312105944,-0.04171001328929986,-0.07266536460904416,-0.07808269816300017,-0.08052490987927391
CAF,0.14327233710078685,0.08222387168913016,0.016605180685229162,-0.04698551049270081,0.053195855003538545,-0.03780687392445559,0.0636488765542551,-0.03338004180795111
CAN,-0.10601354714309302,-0.0586260062644603,-0.03057116314024206,-0.12293320084033381,0.012664637667261579,0.006991958135433328,0.009306939755516929,0.045009279585855294
CHE,-0.0810301583648841,0.20710694207233993,0.016765400250369877,-0.09511147839984294,-0.08623062892991983,0.06336387118863049,-0.05447508301597244,-0.11639560306638123
